Comany_symbol,company_name,price_data,change,change_in_percentage,volume,Avgvol_In3Month,Market_cap,PE_ratio
YESBANK.NS,Yes Bank Limited,26.35,-0.25,-0.94%,118.557M,175.797M,331.328B,N/A
SBIN.NS,State Bank of India,195.95,3.2,1.66%,114.684M,51.58M,1.749T,12.39
IDEA.NS,Idea Cellular Limited,3.2,-0.05,-1.54%,105.825M,309.109M,92.519B,N/A
RELIANCE.BO,Reliance Industries Limited,"1,065.50",-9.25,-0.86%,87.479M,2.503M,6.701T,14.98
ASHOKLEY.NS,Ashok Leyland Limited,43.3,0.45,1.05%,80.002M,25.314M,127.998B,12.3
ICICIBANK.NS,ICICI Bank Limited,339.85,9.6,2.91%,72.824M,24.031M,2.2T,23.5
AXISBANK.NS,Axis Bank Limited,359.75,18.35,5.37%,71.038M,13.201M,1.019T,20.06
TATAMOTORS.NS,Tata Motors Limited,70.7,-0.1,-0.14%,58.805M,54.17M,233.624B,N/A
HDFCLIFE.BO,HDFC Standard Life Insurance Company Limited,440.85,-36.45,-7.64%,54.563M,"182,505",889.988B,69.64
IDFCFIRSTB.NS,IDFC First Bank Limited,22.4,0.65,2.99%,47.394M,22.44M,107.294B,N/A
INDUSINDBK.NS,INDUSIND BANK LTD,411.1,-24.8,-5.69%,43.886M,N/A,N/A,N/A
INDUSINDBK.NS,IndusInd Bank Limited,411.1,-24.8,-5.69%,43.886M,10.628M,285.113B,6.15
FEDERALBNK.NS,The Federal Bank Limited,44.45,2.65,6.34%,42.3M,12.307M,88.574B,5.31
IBULHSGFIN.NS,Indiabulls Housing Finance Limited,90.9,-4.75,-4.97%,39.822M,33.329M,38.887B,1.27
IBULHSGFIN.NS,INDIABULLS HOUSING,90.9,-4.75,-4.97%,39.822M,N/A,N/A,N/A
NTPC.NS,NTPC Limited,83,3.35,4.21%,39.343M,19.598M,830.008B,5.76
BANKBARODA.NS,Bank of Baroda,54.35,-1.6,-2.86%,38.978M,22.123M,251.128B,N/A
ONGC.NS,Oil and Natural Gas Corporation Limited,64.45,-0.3,-0.46%,33.295M,28.185M,811.425B,3.8
ITC.NS,ITC Limited,163.2,6.8,4.35%,32.627M,22.749M,2.006T,13.4
NCC.NS,NCC Limited,17.3,-0.65,-3.62%,31.013M,19.63M,10.55B,2.32
PNB.NS,Punjab National Bank,33.45,0.05,0.15%,30.667M,20.32M,225.709B,N/A
PNB.NS,PUNJAB NATL BANK,33.45,0.05,0.15%,30.667M,N/A,N/A,N/A
SAIL.NS,Steel Authority of India Limited,21.1,-0.7,-3.21%,30.561M,27.85M,87.154B,405.77
HDFCBANK.NS,HDFC Bank Limited,904.45,3.35,0.37%,27.615M,10.558M,4.958T,18.99
GAIL.NS,GAIL (India) Limited,69.5,-3.6,-4.92%,27.547M,14.947M,313.026B,5.04
L&TFH.NS,L&T Finance Holdings Limited,53.1,-0.5,-0.93%,26.194M,10.455M,106.556B,N/A
VEDL.NS,VEDANTA LIMITED,63.75,-2.05,-3.12%,26.192M,N/A,N/A,N/A
VEDL.NS,Vedanta Limited,63.75,-2.05,-3.12%,26.192M,18.755M,236.374B,2.8
NHPC.NS,NHPC Limited,19.4,1.2,6.59%,25.274M,12.781M,195.944B,5.96
BANDHANBNK.NS,Bandhan Bank Limited,249.55,33.95,15.75%,24.787M,4.898M,401.93B,11.95
GREENPOWER.NS,Orient Green Power Company Limited,1.4,0.05,3.70%,23.482M,"115,504",1.02B,N/A
GREENPOWER.NS,ORIENT GREEN POWER,1.4,0.05,3.70%,23.482M,N/A,N/A,N/A
BHEL.NS,Bharat Heavy Electricals Limited,20.35,-0.25,-1.21%,22.348M,18.738M,70.86B,9.84
IDEA.BO,Idea Cellular Limited,3.22,-0.05,-1.53%,20.174M,1.056M,14.045B,N/A
IDEA.BO,Idea Cellular Limited,3.22,-0.05,-1.53%,20.174M,53.763M,92.528B,N/A
MANAPPURAM.NS,Manappuram Finance Limited,106.8,4.7,4.60%,19.244M,6.87M,90.245B,6.79
RELIANCE.NS,Reliance Industries Limited,"1,065.60",-0.6,-0.06%,19.043M,12.361M,6.755T,14.98
COALINDIA.NS,Coal India Limited,131.7,8.45,6.86%,18.329M,14.044M,811.632B,4.49
RPOWER.NS,Reliance Power Limited,1.15,0.05,4.55%,18.01M,14.557M,3.197B,N/A
GMRINFRA.NS,GMR Infrastructure Limited,15.9,-0.35,-2.15%,16.268M,26.031M,95.98B,N/A
POWERGRID.NS,Power Grid Corporation of India Limited,160,1.65,1.04%,16.246M,16.135M,838.64B,7.75
BHARTIARTL.NS,Bharti Airtel Limited,448.95,-21.75,-4.62%,16.076M,16.677M,2.448T,N/A
SOUTHBANK.NS,The South Indian Bank Limited,5.6,0.25,4.67%,15.787M,7.476M,10.134B,3.19
BEL.NS,Bharat Electronics Limited,73.15,5.8,8.61%,15.737M,12.888M,178.237B,12.94
RBLBANK.NS,RBL Bank Limited,160.25,-4.85,-2.94%,14.825M,11.865M,78.999B,11.42
DLF.NS,DLF Limited,138.75,0.6,0.43%,14.469M,8.976M,343.326B,19.29
HDFCLIFE.NS,HDFC Standard Life Insurance Company Limited,441,-36.45,-7.63%,14.438M,2.949M,890.009B,69.67
JINDALSTEL.NS,JINDAL STEEL & PWR,88.85,0,0.00%,14.007M,N/A,N/A,N/A
